movie,recommendation
Toy Story,"['Toy Story 2', 'The Champ', 'The 40 Year Old Virgin', ""The Gang's All Here"", 'Darkness/Light/Darkness']"
Jumanji,"['Word Wars', 'Brainscan', 'Nirvana', 'Dungeons & Dragons', 'Quintet']"
Grumpier Old Men,"['Grumpy Old Men', 'An Extremely Goofy Movie', 'A Goofy Movie', 'Wishful Thinking', 'Heartbreakers']"
Waiting to Exhale,"['Worth Winning', 'Next Stop Wonderland', 'The Fantasticks', 'Dawg', ""Jason's Lyric""]"
Father of the Bride Part II,"['Father of the Bride', 'Wendigo', 'Kuffs', 'North to Alaska', 'All Night Long']"
Heat,False
Sabrina,False
Tom and Huck,"['Striking Distance', 'Mystery Date', ""Tom, Tom, the Piper's Son"", 'The Pallbearer', 'Jerry and Tom']"
Sudden Death,"['Wake of Death', 'JCVD', 'Knock Off', 'Second In Command', 'Until Death']"
GoldenEye,"['The World Is Not Enough', 'Die Another Day', 'Licence to Kill', 'Tomorrow Never Dies', 'You Only Live Twice']"
The American President,"['French Cancan', 'LOL', 'Will Success Spoil Rock Hunter?', 'The Music of Chance', 'The Importance of Being Earnest']"
Dracula: Dead and Loving It,"['High Anxiety', 'Life Stinks', 'Robin Hood: Men in Tights', ""The Creature Wasn't Nice"", 'Dracula 2000']"
Balto,"['Up', 'Pocahontas', 'The Jungle Book 2', 'Sinbad: Legend of the Seven Seas', 'Aladdin and the King of Thieves']"
Nixon,"['Dick', 'Left Behind III: World at War', 'Senso', 'Secret Honor', 'Bounce']"
Cutthroat Island,"['Captain Kidd', 'Playmobil: The Secret of Pirate Island', 'Amazing Grace', 'The Golden Voyage of Sinbad', 'A Friend Is a Treasure']"
Casino,"['GoodFellas', 'Raging Bull', 'Ghost Dog: The Way of the Samurai', 'Once Upon a Time in America', 'City By The Sea']"
Sense and Sensibility,"['Pride & Prejudice', 'Lucky: No Time for Love', 'Imitation of Life', 'Pride and Prejudice', 'Bride & Prejudice']"
Four Rooms,"['Pulp Fiction', 'Curdled', 'Window to Paris', 'Innocent Blood', 'Desperado']"
Ace Ventura: When Nature Calls,"['Paid in Full', 'Ace of Hearts', 'How I Unleashed World War II Part III: Among Friends', 'The Golden Child', 'Von Richthofen and Brown']"
